district,chiefdom,section,type_of_water_point
Western Urban,East III,Pamuronko,2:Protected dug well
Kenema,Kenema City,Gbo Kakajama A-Burma,9:Unprotected dug well
Kenema,Kenema City,Gbo Lambayama A-Nyandeyama,2:Protected dug well
Bo,Bo Town,North Ward-Reservation II,9:Unprotected dug well
NA,NA,NA,NA
Koinadugu,Sengbe,Yogomaia,2:Protected dug well
Bo,Bo Town,West Ward-Moriba Town - Sewa Road,9:Unprotected dug well
NA,NA,NA,NA
West,Western Rural,Waterloo Rural,2:Protected dug well
Bo,Bo Town,East Ward-Messima II,9:Unprotected dug well
Kailahun,Kpeje Bongre,Manowa,2:Protected dug well
Tonkolili,Kafe Simiria,Mabonto,1:Protected spring
North,Port Loko,Masimera,2:Protected dug well
NA,NA,NA,NA
Bo,Bo Town,West Ward-Lewabu - Manjama,2:Protected dug well
Kenema,Kenema City,Gbo Kakajama A-Technical/Gbongbotoh,2:Protected dug well
East,Kono,Gbense,2:Protected dug well
South,Bo,Bo Town,3:Tube well or borehole
North,Port Loko,Sanda Magbolont,2:Protected dug well
Tonkolili,Kholifa Mabang,Robis,2:Protected dug well
Bo,Kakua,Samamie,9:Unprotected dug well
Bonthe,Bonthe Urban,Bonthe Town,3:Tube well or borehole
North,Bombali,Biriwa,2:Protected dug well
Kenema,Kenema City,Gbo Kakajama A-Lambayama,2:Protected dug well
North,Port Loko,Buya Romende,2:Protected dug well
East,Kono,Nimikoro,6:Public tap/standpipe (stand-alone or water kiosk
East,Kono,Gbense,3:Tube well or borehole
Western Urban,East III,Allen Town I,2:Protected dug well
NA,NA,NA,NA
Kenema,Lower Bambara,Bonya,6:Public tap/standpipe (stand-alone or water kiosk
Bonthe,Bonthe Urban,Bonthe Town,3:Tube well or borehole
NA,NA,NA,NA
NA,NA,NA,NA
Tonkolili,Kholifa Rowala,Bo Road,1:Protected spring
West,Western Urban,East III,6:Public tap/standpipe (stand-alone or water kiosk
North,Bombali,Sella Limba,2:Protected dug well
North,Port Loko,Kaffu Bullom,2:Protected dug well
South,Bo,Bo Town,9:Unprotected dug well
Bo,Boama,Bambawo,2:Protected dug well
Bombali,Makari Gbanti,Masuba,2:Protected dug well
Kenema,Kenema City,Gbo Lambayama A-Nyandeyama,2:Protected dug well
Western Rural,Waterloo Rural,Waterloo Lumpa,2:Protected dug well
Bonthe,Imperri,Moimaligie,3:Tube well or borehole
North,Tonkolili,Kholifa Rowala,2:Protected dug well
North,Port Loko,Kaffu Bullom,2:Protected dug well
Port Loko,Koya,Rosarr,2:Protected dug well
South,Bo,Bo Town,9:Unprotected dug well
Kenema,Kenema City,Gbo Kakajama A-Technical/Gbongbotoh,2:Protected dug well
North,Koinadugu,Dembelia-Sinkunia,2:Protected dug well
